transaction_id,customer_id,failed_at,amount,payment_method,error_code,customer_historical_success_rate,retry_attempt_number,recovery_action_taken,recovery_success,recovered_at,hidden_true_probability
28d43ef4-222a-4277-b9aa-57bc79bc980f,cust_1127,2026-07-01 06:20:00.573478,2349.32,credit_card,ERR_INSUFFICIENT_FUNDS,0.72,1,email_link,True,2026-07-02 12:20:00.573478,0.244
cef97c65-a9cc-4089-85f5-50d8cc524dd6,cust_806,2026-04-28 21:20:00.573478,4870.4,upi,ERR_INSUFFICIENT_FUNDS,0.733,1,whatsapp_link,True,2026-05-01 04:20:00.573478,0.447
285d9e05-a584-428d-b1b2-4cbf325fd0ca,cust_1268,2026-08-15 05:20:00.573478,4830.6,debit_card,ERR_RISK_FLAG,0.775,1,whatsapp_link,False,,0.155
c9f8e7bc-7733-4945-92b0-11e236fad31b,cust_1364,2026-04-05 01:20:00.573478,991.96,enach,ERR_INSUFFICIENT_FUNDS,0.943,1,whatsapp_link,False,,0.489
622bad6d-dfa7-49c5-8704-11636bfe4109,cust_1796,2026-04-10 08:20:00.573478,1428.61,credit_card,ERR_INSUFFICIENT_FUNDS,0.729,3,whatsapp_link,False,,0.251
926074f6-d3dd-4cec-8266-631f276266fb,cust_493,2026-05-27 12:20:00.573478,126.06,upi,ERR_INSUFFICIENT_FUNDS,0.876,2,email_link,False,,0.206
e2c4177f-8935-4b19-b716-f08d9a6b7dda,cust_289,2026-05-11 23:20:00.573478,410.44,upi,ERR_INSUFFICIENT_FUNDS,0.837,1,whatsapp_link,True,2026-05-13 10:20:00.573478,0.467
94778122-ddaf-4236-b82f-77adf6a5a754,cust_961,2026-07-20 18:20:00.573478,3581.25,debit_card,ERR_INSUFFICIENT_FUNDS,0.846,1,whatsapp_link,False,,0.469
047fc4b6-eaca-46a7-ae03-0b468ca051d1,cust_864,2026-07-29 18:20:00.573478,3801.2,enach,ERR_INSUFFICIENT_FUNDS,0.562,1,silent_retry,True,2026-07-30 22:20:00.573478,0.762
0ed98257-ddc4-4fd5-bce5-ab310effb413,cust_578,2026-06-16 23:20:00.573478,4427.07,enach,ERR_INSUFFICIENT_FUNDS,0.58,1,whatsapp_link,False,,0.416
7c568e26-ac11-4d66-82dd-cdbae8d8213b,cust_190,2026-03-03 18:20:00.573478,2716.04,debit_card,ERR_INSUFFICIENT_FUNDS,0.85,1,silent_retry,False,,0.27
eb7caa0a-aefa-4fe1-84b1-a2c3e3b48241,cust_664,2026-06-22 04:20:00.573478,1308.69,upi,ERR_INSUFFICIENT_FUNDS,0.763,2,whatsapp_link,False,,0.339
ee59f383-3239-4da9-8293-6ad7228511e7,cust_952,2026-07-08 06:20:00.573478,2700.58,debit_card,ERR_NETWORK,0.872,1,whatsapp_link,True,2026-07-10 14:20:00.573478,0.674
8ac4e5b2-7599-45da-85d2-a312e70b2068,cust_123,2026-07-18 03:20:00.573478,837.52,upi,ERR_NETWORK,0.909,1,whatsapp_link,False,,0.682
1f3920ff-5856-436e-a326-6d3f2b4cbe5b,cust_764,2026-08-08 19:20:00.573478,4688.98,credit_card,ERR_INSUFFICIENT_FUNDS,0.701,1,email_link,False,,0.24
8a1eccee-d8bc-4ebc-a62f-4aa9876c2f3b,cust_151,2026-06-21 07:20:00.573478,1284.08,enach,ERR_CARD_EXPIRED,0.863,2,whatsapp_link,True,2026-06-21 16:20:00.573478,0.392
807c9bb8-afa7-44f7-9e23-b299114c3fdf,cust_1257,2026-06-28 12:20:00.573478,511.29,enach,ERR_CARD_EXPIRED,0.938,1,whatsapp_link,False,,0.538
e0d6c071-f808-445f-8330-7c29067637de,cust_1136,2026-05-21 13:20:00.573478,3293.61,credit_card,ERR_NETWORK,0.904,1,silent_retry,True,2026-05-23 13:20:00.573478,0.931
7aadcaae-5c30-43c4-a743-fb233811bd28,cust_1940,2026-08-23 23:20:00.573478,3217.03,debit_card,ERR_CARD_EXPIRED,0.931,1,whatsapp_link,False,,0.536
c790a164-3933-4c89-8d6f-ca1cf8f225dc,cust_563,2026-03-29 02:20:00.573478,1055.69,credit_card,ERR_INSUFFICIENT_FUNDS,0.74,1,email_link,True,2026-03-29 19:20:00.573478,0.248
ddf413ca-849e-461c-b937-24cc8937ffab,cust_1196,2026-04-16 08:20:00.573478,4902.62,enach,ERR_CARD_EXPIRED,0.718,1,email_link,False,,0.494
15f58467-cc00-45e3-a480-04bd57005ac9,cust_1185,2026-04-27 14:20:00.573478,575.16,enach,ERR_CARD_EXPIRED,0.832,3,email_link,False,,0.29
978e3185-561d-4f8c-a299-b8cef654614f,cust_155,2026-08-23 18:20:00.573478,4064.87,upi,ERR_INSUFFICIENT_FUNDS,0.902,2,whatsapp_link,True,2026-08-24 01:20:00.573478,0.36
